110100100000 F2 U2 R' F' 
110101000000 F U2 R' F' 
110001011001 B' U2 R' F' 
010001001001 B2 U2 R' F' 
110011001001 B U2 R' F' 
100001001100 L' U2 R' F' 
110010001000 L U2 R' F' 
110001000010 D' U2 R' F' 
110001000001 D2 U2 R' F' 
110001000100 D U2 R' F' 
101100100000 F2 U R' F' 
101101000000 F U R' F' 
101001011001 B' U R' F' 
001001001001 B2 U R' F' 
101011001001 B U R' F' 
101000001100 L' U R' F' 
111000001000 L U R' F' 
101001000010 D' U R' F' 
101001000100 D U R' F' 
011111011001 U' B' R' F' 
111011011001 U B' R' F' 
111100011101 L' B' R' F' 
101111010110 D' B' R' F' 
010100001100 U' L' R' F' 
110000001100 U2 L' R' F' 
101110011101 B' L' R' F' 
001100001010 D' L' R' F' 
001100000011 D2 L' R' F' 
001100000101 D L' R' F' 
101110011000 B' L2 R' F' 
001110011001 B L2 R' F' 
001110000010 D' L2 R' F' 
001110000100 D L2 R' F' 
110100001000 U' L R' F' 
101100001000 U L R' F' 
111110011001 B' L R' F' 
011100000010 D' L R' F' 
011100000001 D2 L R' F' 
011100000100 D L R' F' 
001000101010 F2 D' R' F' 
000101110000 R' D' R' F' 
101111010011 B' D' R' F' 
001100000110 L' D' R' F' 
001000101001 F2 D2 R' F' 
101111000001 B' D2 R' F' 
101101010001 B D2 R' F' 
001001001100 F' D R' F' 
101111010101 B' D R' F' 
011110000000 L2 D R' F' 
011101000000 L D R' F' 
000000010001 D2 F' R2 F' 
010000111000 U' F2 R2 F' 
100000111000 U2 F2 R2 F' 
001000111000 U F2 R2 F' 
000100110010 D' F2 R2 F' 
000100110001 D2 F2 R2 F' 
000100110100 D F2 R2 F' 
100000010000 U2 F R2 F' 
010100110000 F2 U' R2 F' 
010101010000 F U' R2 F' 
010011011001 B' U' R2 F' 
010011001000 B2 U' R2 F' 
110011011000 B U' R2 F' 
000001011100 L' U' R2 F' 
000010011100 L2 U' R2 F' 
010001010010 D' U' R2 F' 
010001010100 D U' R2 F' 
100100110000 F2 U2 R2 F' 
100101010000 F U2 R2 F' 
000001011001 B' U2 R2 F' 
000011001001 B2 U2 R2 F' 
100011001000 B U2 R2 F' 
001100110000 F2 U R2 F' 
001011011001 B' U R2 F' 
001011001000 B2 U R2 F' 
101011011000 B U R2 F' 
001000011100 L' U R2 F' 
011000011000 L U R2 F' 
001001010010 D' U R2 F' 
001001010100 D U R2 F' 
000111001011 R' B' R2 F' 
000111101001 R2 B' R2 F' 
001111001001 R B' R2 F' 
100011011001 U2 B' R2 F' 
010100011101 L' B' R2 F' 
000111010110 D' B' R2 F' 
000111000010 D' B2 R2 F' 
000111000001 D2 B2 R2 F' 
000111000100 D B2 R2 F' 
100111001010 R' B R2 F' 
100111101000 R2 B R2 F' 
101111001000 R B R2 F' 
011011011000 U' B R2 F' 
110100011100 L' B R2 F' 
100111010010 D' B R2 F' 
100111010001 D2 B R2 F' 
100111010100 D B R2 F' 
010000011100 U' L' R2 F' 
000110011101 B' L' R2 F' 
100110011100 B L' R2 F' 
000100010011 D2 L' R2 F' 
101000011000 U2 L R2 F' 
010110011001 B' L R2 F' 
110110011000 B L R2 F' 
010100010010 D' L R2 F' 
010100010100 D L R2 F' 
000000111010 F2 D' R2 F' 
000111010011 B' D' R2 F' 
000100010110 L' D' R2 F' 
000000111001 F2 D2 R2 F' 
100111000000 B2 D2 R2 F' 
000000111100 F2 D R2 F' 
000111010101 B' D R2 F' 
010110010000 L2 D R2 F' 
100010011011 B' F' R F' 
010000101010 U' F2 R F' 
100000101010 U2 F2 R F' 
100110111011 B' F2 R F' 
010000000010 U' F R F' 
100110010011 B' F R F' 
000100000001 D' F R F' 
110011011011 B' U' R F' 
000001001110 L' U' R F' 
000010001110 L2 U' R F' 
010010001010 L U' R F' 
010001000011 D' U' R F' 
010001000101 D2 U' R F' 
010001001100 D U' R F' 
100100100010 F2 U2 R F' 
100101000010 F U2 R F' 
